INFO 03:31:41: Loading World
INFO 03:31:41: Making Window
INFO 03:31:41: Creating Threads
INFO 03:31:41: Starting Threads
INFO 03:31:41: Making Agents
INFO 03:36:55: Gen 32 Best: 60.60, Median: 15.00, 75th: 12.40, Best Passes: 5, Median Passes: 0
INFO 03:36:56: Gen 33 Best: 91.20, Median: 16.80, 75th: 12.40, Best Passes: 6, Median Passes: 0
INFO 03:36:58: Gen 34 Best: 59.60, Median: 15.20, 75th: 12.40, Best Passes: 5, Median Passes: 0
INFO 03:36:59: Gen 35 Best: 52.40, Median: 14.80, 75th: 10.60, Best Passes: 4, Median Passes: 0
INFO 03:37:01: Gen 36 Best: 59.20, Median: 15.00, 75th: 11.80, Best Passes: 4, Median Passes: 0
INFO 03:37:02: Gen 37 Best: 53.80, Median: 15.00, 75th: 10.80, Best Passes: 6, Median Passes: 0
INFO 03:37:04: Gen 38 Best: 88.20, Median: 16.40, 75th: 11.80, Best Passes: 6, Median Passes: 0
INFO 03:37:05: Gen 39 Best: 56.20, Median: 15.00, 75th: 11.00, Best Passes: 5, Median Passes: 0
INFO 03:37:06: Gen 40 Best: 75.60, Median: 15.60, 75th: 10.40, Best Passes: 6, Median Passes: 0
INFO 03:37:08: Gen 41 Best: 66.40, Median: 16.20, 75th: 11.60, Best Passes: 5, Median Passes: 0
INFO 03:37:09: Gen 42 Best: 59.80, Median: 16.60, 75th: 11.60, Best Passes: 4, Median Passes: 0
INFO 03:37:11: Gen 43 Best: 66.60, Median: 16.80, 75th: 10.60, Best Passes: 4, Median Passes: 0
INFO 03:37:12: Gen 44 Best: 51.60, Median: 14.60, 75th: 11.20, Best Passes: 2, Median Passes: 0
INFO 03:37:13: Gen 45 Best: 58.40, Median: 16.60, 75th: 11.40, Best Passes: 4, Median Passes: 0
INFO 03:37:15: Gen 46 Best: 52.20, Median: 14.60, 75th: 8.80, Best Passes: 2, Median Passes: 0
INFO 03:37:16: Gen 47 Best: 87.20, Median: 15.20, 75th: 8.80, Best Passes: 5, Median Passes: 0
INFO 03:37:17: Gen 48 Best: 83.20, Median: 15.40, 75th: 11.00, Best Passes: 7, Median Passes: 0
INFO 03:37:19: Gen 49 Best: 59.00, Median: 15.00, 75th: 11.00, Best Passes: 5, Median Passes: 0
INFO 03:37:19: Making Agents
INFO 03:37:19: Architecture: [(3, 3), (6, 3)]
INFO 03:37:19: Number of weights: 33
INFO 03:37:20: Gen 0 Best: 23.20, Median: 0.00, 75th: 0.00, Best Passes: 0, Median Passes: 0
INFO 03:37:21: Gen 1 Best: 25.00, Median: 0.00, 75th: 0.00, Best Passes: 0, Median Passes: 0
