INFO 03:31:41: Loading World
INFO 03:31:41: Creating Threads
INFO 03:31:41: Starting Threads
INFO 03:31:41: Making Agents
INFO 03:36:42: Gen 49 Best: 32.00, Median: 16.20, 75th: 12.40, Best Passes: 0, Median Passes: 0
INFO 03:36:42: Making Agents
INFO 03:36:42: Architecture: [(3, 3), (6, 2)]
INFO 03:36:42: Number of weights: 26
INFO 03:36:43: Gen 0 Best: 27.40, Median: 0.00, 75th: 0.00, Best Passes: 0, Median Passes: 0
INFO 03:36:44: Gen 1 Best: 31.80, Median: 0.00, 75th: 0.00, Best Passes: 0, Median Passes: 0
INFO 03:36:45: Gen 2 Best: 24.60, Median: 0.00, 75th: 0.00, Best Passes: 0, Median Passes: 0
INFO 03:36:46: Gen 3 Best: 29.40, Median: 1.00, 75th: 0.00, Best Passes: 0, Median Passes: 0
INFO 03:36:47: Gen 4 Best: 30.40, Median: 11.00, 75th: 0.00, Best Passes: 0, Median Passes: 0
INFO 03:36:48: Gen 5 Best: 26.20, Median: 11.40, 75th: 0.00, Best Passes: 0, Median Passes: 0
INFO 03:36:49: Gen 6 Best: 27.20, Median: 12.40, 75th: 1.00, Best Passes: 0, Median Passes: 0
INFO 03:36:51: Gen 7 Best: 30.60, Median: 13.00, 75th: 6.00, Best Passes: 0, Median Passes: 0
INFO 03:36:52: Gen 8 Best: 28.80, Median: 14.20, 75th: 10.60, Best Passes: 0, Median Passes: 0
INFO 03:36:53: Gen 9 Best: 28.60, Median: 16.00, 75th: 11.60, Best Passes: 0, Median Passes: 0
INFO 03:36:54: Gen 10 Best: 29.00, Median: 14.80, 75th: 11.60, Best Passes: 0, Median Passes: 0
INFO 03:36:56: Gen 11 Best: 28.40, Median: 14.00, 75th: 11.00, Best Passes: 0, Median Passes: 0
INFO 03:36:57: Gen 12 Best: 31.20, Median: 15.80, 75th: 12.60, Best Passes: 0, Median Passes: 0
INFO 03:36:58: Gen 13 Best: 26.20, Median: 14.80, 75th: 9.80, Best Passes: 0, Median Passes: 0
INFO 03:36:59: Gen 14 Best: 30.40, Median: 14.80, 75th: 11.60, Best Passes: 0, Median Passes: 0
INFO 03:37:01: Gen 15 Best: 29.40, Median: 15.80, 75th: 11.40, Best Passes: 0, Median Passes: 0
INFO 03:37:02: Gen 16 Best: 40.00, Median: 15.20, 75th: 12.00, Best Passes: 0, Median Passes: 0
INFO 03:37:03: Gen 17 Best: 27.40, Median: 15.00, 75th: 11.60, Best Passes: 0, Median Passes: 0
INFO 03:37:05: Gen 18 Best: 26.20, Median: 15.40, 75th: 12.20, Best Passes: 0, Median Passes: 0
INFO 03:37:06: Gen 19 Best: 33.00, Median: 15.60, 75th: 12.40, Best Passes: 0, Median Passes: 0
INFO 03:37:07: Gen 20 Best: 26.40, Median: 15.00, 75th: 11.60, Best Passes: 0, Median Passes: 0
INFO 03:37:08: Gen 21 Best: 29.20, Median: 14.60, 75th: 11.20, Best Passes: 0, Median Passes: 0
INFO 03:37:10: Gen 22 Best: 27.60, Median: 15.20, 75th: 10.80, Best Passes: 0, Median Passes: 0
INFO 03:37:11: Gen 23 Best: 29.40, Median: 15.20, 75th: 11.00, Best Passes: 0, Median Passes: 0
INFO 03:37:12: Gen 24 Best: 27.00, Median: 15.40, 75th: 12.20, Best Passes: 0, Median Passes: 0
INFO 03:37:13: Gen 25 Best: 26.00, Median: 14.20, 75th: 11.00, Best Passes: 0, Median Passes: 0
